Video,Owner,Keep video Y/N,Notes,Interesting time-ranges,Static Camera Y/N,Useful for Vanguard Y/N,Link
week_2021_07_12/2021_07_14/person_pathing_0052_5400000-5700000.mp4,Alessandro,Y,FPV,"0'0""-1'0""",Y,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_12/2021_07_14/person_pathing_0052_5400000-5700000.mp4
week_2021_08_02/2021_08_03/person_pathing_0785_600000-900000.mp4,Alessandro,Y,FPV,0'40''- 1'20'';1'48''- 2'08'',N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_03/person_pathing_0785_600000-900000.mp4
week_2021_08_02/2021_08_04/person_pathing_0846_300000-573500.mp4,Alessandro,N,"FPV; a bit messy, too many people, tracklets short",,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_04/person_pathing_0846_300000-573500.mp4
week_2021_07_19/2021_07_22/Person Pathing 309_2400000-2700000.mp4,Alessandro,Y,FPV,3'30''-4'02'',N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_22/Person Pathing 309_2400000-2700000.mp4
week_2021_07_19/2021_07_22/Person Pathing 309_2700000-3000000.mp4,Alessandro,Y,FPV,2'35''-2'50'',N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_22/Person Pathing 309_2700000-3000000.mp4
week_2021_07_19/2021_07_22/Person Pathing 327.mp4,Alessandro,N,"tracking is easy, but it's high-contrast visual appearance is hard",,Y,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_22/Person Pathing 327.mp4
week_2021_07_19/2021_07_22/Person Pathing 331.mp4,Alessandro,Y,video is good but it has overlay,ALL,Y,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_22/Person Pathing 331.mp4
week_2021_07_19/2021_07_22/Person Pathing 332.mp4,Alessandro,Y,"a bit easy, but viewpoint is different than usual",ALL,Y,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_07_19/2021_07_22/Person Pathing 332.mp4
week_2021_08_02/2021_08_05/person_pathing_0937_1800000-2100000.mp4,Alessandro,N,FPV; too crowded,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_05/person_pathing_0937_1800000-2100000.mp4
week_2021_08_02/2021_08_05/person_pathing_0937_3600000-3900000.mp4,Alessandro,N,FPV; too crowded,,N,,http://motion.aka.corp.amazon.com:8200//workplace/data/motion_efs/academic_datasets/person_tracking/Youtube/raw_data/vids_chunked/vid_chunks_5m_Nonep/week_2021_08_02/2021_08_05/person_pathing_0937_3600000-3900000.mp4
